move_id,pokemon_id
0,238
1,548
2,785
3,161
4,732
5,486
6,164
7,333
8,613
9,685
10,773
11,779
12,523
13,321
14,40
15,591
16,264
17,674
18,347
19,399
20,116
21,392
22,745
23,282
24,378
25,216
26,799
27,739
28,198
29,625
30,229
31,518
32,554
33,429
34,722
35,458
36,709
37,149
38,536
39,534
40,187
41,716
42,420
43,353
44,252
45,361
46,661
47,122
48,597
49,493
50,704
51,536
52,495
53,602
54,558
55,427
56,64
57,650
58,336
59,631
60,13
61,108
62,214
63,565
64,233
65,672
66,287
67,58
68,9
69,299
70,270
71,10
72,562
73,307
74,783
75,625
76,457
77,409
78,619
79,689
80,344
81,593
82,583
83,733
84,363
85,662
86,372
87,425
88,110
89,724
90,524
91,303
92,248
93,341
94,386
95,288
96,179
97,68
98,513
99,89
100,572
101,158
102,300
103,430
104,414
105,345
106,150
107,794
108,629
109,310
110,362
111,370
112,767
113,189
114,299
115,224
116,102
117,570
118,755
119,733
120,616
121,89
122,336
123,530
124,344
125,224
126,18
127,542
128,299
129,727
130,189
131,165
132,382
133,496
134,701
135,313
136,324
137,62
138,453
139,697
140,90
141,171
142,111
143,637
144,376
145,183
146,643
147,382
148,375
149,129
150,757
151,298
152,129
153,729
154,656
155,123
156,750
157,23
158,462
159,409
160,100
161,434
162,342
163,299
164,713
165,248
166,594
167,213
168,596
169,742
170,798
171,628
172,59
173,716
174,404
175,792
176,679
177,437
178,785
179,300
180,458
181,559
182,296
183,654
184,343
185,772
186,42
187,588
188,524
189,542
190,12
191,202
192,698
193,179
194,114
195,353
196,140
197,582
198,289
199,174
200,702
201,486
202,94
203,500
204,354
205,392
206,381
207,525
208,523
209,773
210,109
211,478
212,800
213,659
214,139
215,703
216,124
217,194
218,489
219,163
220,156
221,387
222,750
223,627
224,137
225,445
226,385
227,436
228,501
229,642
230,761
231,592
232,640
233,169
234,598
235,96
236,637
237,168
238,781
239,368
240,70
241,700
242,7
243,327
244,76
245,501
246,564
247,765
248,131
249,305
250,158
251,202
252,118
253,244
254,81
255,691
256,203
257,308
258,277
259,42
260,4
261,507
262,58
263,726
264,244
265,49
266,446
267,435
268,268
269,109
270,10
271,616
272,406
273,114
274,179
275,755
276,450
277,369
278,387
279,172
280,355
281,482
282,499
283,15
284,777
285,500
286,113
287,245
288,94
289,702
290,636
291,731
292,509
293,409
294,97
295,620
296,155
297,741
298,594
299,417
300,364
301,684
302,201
303,84
304,463
305,117
306,797
307,693
308,436
309,727
310,406
311,762
312,603
313,613
314,14
315,687
316,146
317,308
318,245
319,557
320,177
321,552
322,313
323,81
324,45
325,566
326,1
327,12
328,176
329,721
330,275
331,61
332,126
333,263
334,694
335,298
336,318
337,8
338,392
339,489
340,45
341,551
342,7
343,644
344,449
345,756
346,344
347,112
348,686
349,401
350,609
351,599
352,376
353,786
354,648
355,731
356,216
357,476
358,112
359,417
360,750
361,573
362,105
363,72
364,487
365,132
366,3
367,513
368,618
369,247
370,665
371,780
372,78
373,721
374,378
375,800
376,203
377,673
378,218
379,529
380,570
381,255
382,9
383,73
384,696
385,648
386,528
387,718
388,271
389,160
390,799
391,45
392,613
393,795
394,6
395,450
396,566
397,775
398,360
399,502
400,565
401,49
402,85
403,18
404,741
405,461
406,215
407,207
408,757
409,720
410,697
411,309
412,27
413,354
414,265
415,227
416,744
417,8
418,3
419,582
420,676
421,699
422,330
423,337
424,422
425,221
426,157
427,321
428,577
429,185
430,228
431,639
432,62
433,539
434,13
435,207
436,327
437,381
438,752
439,507
440,354
441,444
442,99
443,21
444,442
445,30
446,168
447,254
448,259
449,428
450,39
451,228
452,185
453,170
454,420
455,409
456,79
457,239
458,433
459,72
460,475
461,429
462,495
463,294
464,131
465,473
466,443
467,304
468,526
469,248
470,169
471,557
472,46
473,527
474,629
475,276
476,570
477,450
478,647
479,655
480,679
481,467
482,62
483,262
484,423
485,751
486,458
487,646
488,325
489,431
490,58
491,393
492,41
493,477
494,351
495,772
496,764
497,177
498,478
499,248
500,177
501,110
502,283
503,695
504,764
505,772
506,114
507,235
508,397
509,571
510,488
511,735
512,231
513,616
514,773
515,602
516,776
517,120
518,781
519,721
520,199
521,50
522,233
523,382
524,445
525,562
526,444
527,303
528,277
529,147
530,484
531,166
532,605
533,264
534,624
535,299
536,489
537,521
538,455
539,151
540,681
541,118
542,192
543,24
544,721
545,504
546,676
547,42
548,384
549,535
550,689
551,510
552,708
553,36
554,180
555,655
556,730
557,449
558,150
559,145
560,751
561,202
562,61
563,282
564,277
565,598
566,313
567,27
568,486
569,3
570,603
571,216
572,161
573,374
574,135
575,744
576,447
577,718
578,775
579,634
580,788
581,201
582,317
583,387
584,678
585,286
586,773
587,385
588,735
589,138
590,663
591,629
592,552
593,404
594,384
595,69
596,442
597,124
598,532
599,383
600,608
601,252
602,135
603,128
604,515
605,437
606,676
607,376
608,455
609,88
610,236
611,42
612,359
613,578
614,34
615,611
616,585
617,37
618,635
619,599
620,450
621,495
622,5
623,279
624,689
625,124
626,67
627,665
628,379
629,758
630,219
631,643
632,118
633,447
634,379
635,269
636,133
637,698
638,417
639,760
640,655
641,489
642,242
643,599
644,686
645,125
646,359
647,173
648,61
649,416
650,476
651,242
652,674
653,793
654,196
655,661
656,213
657,532
658,623
659,655
660,220
661,360
662,633
663,198
664,401
665,729
666,399
667,179
668,678
669,271
670,659
671,739
672,509
673,587
674,760
675,532
676,694
677,289
678,323
679,746
680,616
681,304
682,60
683,668
684,226
685,126
686,8
687,225
688,658
689,201
690,134
691,516
692,31
693,325
694,249
695,570
696,636
697,306
698,99
699,486
700,299
701,391
702,167
703,738
704,45
705,798
706,360
707,274
708,380
709,162
710,399
711,515
712,3
713,111
714,795
715,36
716,773
717,586
718,270
719,535
720,130
721,213
722,477
723,189
724,401
725,498
726,679
727,561
728,295
729,146
730,99
731,578
732,183
733,631
734,126
735,641
736,479
737,460
738,535
739,419
740,419
741,493
742,21
743,255
744,510
745,104
746,527
747,405
748,162
749,248
750,643
751,705
752,685
753,452
754,315
755,356
756,384
757,650
